Matrix Size    Type    1    4    8    16    32
4    dense    0.0003    0.0041    0.0031    0.0029    0.0032
4    sparse    0.0002    0.0040    0.0027    0.0028    0.0028
4    well-conditioned    0.0002    0.0042    0.0028    0.0028    0.0027
4    ill-conditioned    0.0002    0.0042    0.0027    0.0028    0.0028
16    dense    0.0037    0.0193    0.0200    0.0202    0.0131
16    sparse    0.0038    0.0175    0.0191    0.0211    0.0131
16    well-conditioned    0.0037    0.0168    0.0173    0.0199    0.0131
16    ill-conditioned    0.0037    0.0167    0.0527    0.0181    0.0122
32    dense    0.0193    0.0349    0.0357    0.1523    0.0587
32    sparse    0.0166    0.0350    0.0359    0.0366    0.0374
32    well-conditioned    0.0165    0.0350    0.0358    0.0362    0.0374
32    ill-conditioned    0.0165    0.0349    0.0358    0.0362    0.0373
64    dense    0.0978    0.0745    0.0760    0.0765    0.0870
64    sparse    0.0980    0.0031    0.0755    0.0937    0.0792
64    well-conditioned    0.0977    0.0739    0.0758    0.0978    0.0787
64    ill-conditioned    0.0978    0.0745    0.0757    0.0767    0.0790
128    dense    0.6487    0.1640    0.1657    0.1724    0.2011
128    sparse    0.6491    0.1652    0.1659    0.1734    0.1725
128    well-conditioned    0.6490    0.1643    0.1660    0.1675    0.1788
128    ill-conditioned    0.6494    0.1645    0.1663    0.1681    0.1784
256    dense    4.6612    0.3369    0.3733    0.3972    0.4010
256    sparse    4.6611    0.3362    0.3648    0.3958    0.4139
256    well-conditioned    4.6605    0.3362    0.3654    0.3952    0.4014
256    ill-conditioned    4.6600    0.3369    0.3663    0.3960    0.4014
512    dense    35.1985    0.7745    0.7910    0.8205    0.9458
512    sparse    35.2206    0.7735    0.7898    0.8204    0.9346
512    well-conditioned    35.2182    0.7720    0.7909    0.8221    0.9403
512    ill-conditioned    35.2051    0.7732    0.7918    0.8265    0.9297
1024    dense    273.5870    2.2200    2.0310    2.0449    2.1295
1024    sparse    273.5870    2.2317    2.0369    2.0539    2.1260
1024    well-conditioned        2.2208    2.0253    2.0463    2.1144
1024    ill-conditioned        2.2158    2.0378    2.0577    2.1180
