Matrix Size    Type    Serial    4    8    16    32
4    dense    0.000248078    0.00657884    0.00373987    0.00386482    0.00389111
4    sparse    0.000248328    0.00658064    0.00371112    0.00384825    0.00385706
4    well-conditioned    0.000243959    0.00639034    0.0037152    0.00385491    0.00386203
4    ill-conditioned    0.000243879    0.00658758    0.00356932    0.00385837    0.00386665
16    dense    0.00374191    0.0940241    0.0998669    0.107104    0.0572678
16    sparse    0.00375713    0.090994    0.0942615    0.0998143    0.0570535
16    well-conditioned    0.00374112    0.0873465    0.0914534    0.0953238    0.111931
16    ill-conditioned    0.00373681    0.0881152    0.0906703    0.0939923    0.053282
32    dense    0.0177477    0.376399    0.414646    0.376561    0.421332
32    sparse    0.0165563    0.00149758    0.361801    0.370699    0.379314
32    well-conditioned    0.0165406    0.349757    0.361941    0.367426    0.389675
32    ill-conditioned    0.0165478    0.348405    0.36906    0.36741    0.378907
64    dense    0.0977558    1.4172    1.4912    1.53176    1.72414
64    sparse    0.0978035    1.41355    1.50055    1.4997    1.66065
64    well-conditioned    0.0979264    1.41265    1.49656    1.48494    1.62764
64    ill-conditioned    0.097761    1.40895    1.47919    1.52899    1.58057
128    dense    0.648777    5.60179    5.86242    5.99452    6.31572
128    sparse    0.649121    5.65266    5.83128    5.95891    6.27131
128    well-conditioned    0.649056    5.65319    5.89023    5.95601    6.23765
128    ill-conditioned    0.64954    5.65297    5.80585    5.95201    6.21121
256    dense    4.66115    22.7385    23.4017    23.8223    24.6353
256    sparse    4.66106    22.384    23.1426    23.545    24.5534
256    well-conditioned    4.66057    22.6267    23.2116    23.5863    24.5077
256    ill-conditioned    4.66027    22.7255    23.4994    23.6105    24.4646
512    dense    35.1987    90.5676    94.0633    95.0673    97.6396
512    sparse    35.2205    90.7089    93.8851    94.5619    97.2073
512    well-conditioned    35.2186    90.5685    94.0796    95.1868    97.5843
512    ill-conditioned    35.205    90.8782    93.7663    95.2429    97.7052
1024    dense    273.575    362.479    375.771    380.644    391.222
1024    sparse    273.571    363.135    376.054    381.101    391.205
1024    well-conditioned    DTF    361.209    375.831    380.923    390.605
